b, 2017.0, 5625.0, u, g, w, v, 171.0, t, f, 0, f, s, 120, 0, positive
b, 1967.0, 10.0, y, p, k, h, 835.0, t, f, 0, t, g, 140, 0, negative
b, 3633.0, 379.0, u, g, w, v, 1165.0, t, f, 0, t, g, 200, 0, negative
b, 2392.0, 15.0, u, g, d, h, 1875.0, t, t, 6, f, g, 200, 327, positive
b, 2958.0, 45.0, u, g, w, v, 75.0, t, t, 2, t, g, 330, 0, positive
a, 3217.0, 146.0, u, g, w, v, 1085.0, t, t, 16, f, g, 120, 2079, positive
b, 5142.0, 4.0, u, g, x, h, 4.0, t, f, 0, f, g, 0, 3000, positive
b, 27.0, 75.0, u, g, c, h, 425.0, t, t, 3, t, g, 312, 150, positive
a, 4608.0, 3.0, u, g, c, v, 2375.0, t, t, 8, t, g, 396, 4159, positive
b, 3233.0, 35.0, u, g, k, v, 5.0, f, f, 0, t, g, 232, 0, negative
a, 3833.0, 4415.0, u, g, c, v, 125.0, f, f, 0, f, g, 160, 0, negative
b, 1817.0, 246.0, u, g, c, n, 96.0, f, t, 2, t, g, 160, 587, negative
b, 3417.0, 275.0, u, g, i, bb, 25.0, f, f, 0, t, g, 232, 200, negative
b, 3158.0, 75.0, y, p, aa, v, 35.0, f, f, 0, t, g, 320, 0, negative
a, 2358.0, 83.0, u, g, q, v, 415.0, f, t, 1, t, g, 200, 11, negative
b, 2983.0, 35.0, u, g, c, v, 165.0, f, f, 0, f, g, 216, 0, negative
a, 2175.0, 1175.0, u, g, c, v, 25.0, f, f, 0, t, g, 180, 0, negative
a, 1792.0, 54.0, u, g, c, v, 175.0, f, t, 1, t, g, 80, 5, negative
b, 5183.0, 204.0, y, p, ff, ff, 15.0, f, f, 0, f, g, 120, 1, negative
a, 3733.0, 25.0, u, g, i, h, 21.0, f, f, 0, f, g, 260, 246, negative
b, 195.0, 29.0, u, g, k, v, 29.0, f, f, 0, f, g, 280, 364, negative

